arm,step,segment,reward_mean,overlong_rate,num_turns_mean,response_length_mean,actor_entropy,actor_grad_norm,step_seconds,val_greedy_in_training
foldgrpo,39,real,0.0942,0.0,28.97,20012,0.0509,0.1441,4414,
foldgrpo,40,real,0.1407,0.0,19.25,20323,0.0581,0.1499,3892,0.3533
foldgrpo,41,real,0.2506,0.0,18.53,19197,0.0409,3049.616,3676,
foldgrpo,42,real,0.2088,0.0,21.21,19883,0.1073,0.1612,3264,
foldgrpo,43,real,0.1968,0.0,19.15,21165,0.1144,4579.0542,4023,
foldgrpo,44,real,0.1937,0.0,18.78,21237,0.1359,0.1532,3725,
foldgrpo,45,real,0.1245,0.0,19.77,20627,0.0462,0.1594,4268,
foldgrpo,46,real,0.0502,0.0,61.2,13247,0.0365,0.1172,4368,
foldgrpo,47,no_reward_server_zero_grad,0.0,0.0,103.66,9852,0.1175,0.0,2786,
foldgrpo,48,no_reward_server_zero_grad,0.0,0.0,86.09,8273,0.0376,0.0,3043,
foldgrpo,49,no_reward_server_zero_grad,0.0,0.0,102.79,10141,0.1184,0.0,2858,
foldgrpo,50,no_reward_server_zero_grad,0.0,0.0,85.8,8468,0.0392,0.0,3142,0.0
foldgrpo,51,no_reward_server_zero_grad,0.0,0.0,84.85,8109,0.034,0.0,2958,
foldgrpo,52,no_reward_server_zero_grad,0.0,0.0,86.5,8514,0.0361,0.0,3190,
foldgrpo,53,no_reward_server_zero_grad,0.0,0.0,104.91,10054,0.1185,0.0,2999,
foldgrpo,54,no_reward_server_zero_grad,0.0,0.0,85.67,8604,0.0365,0.0,3249,
foldgrpo,55,no_reward_server_zero_grad,0.0,0.0,86.06,8453,0.0352,0.0,2973,
foldgrpo,56,no_reward_server_zero_grad,0.0,0.0,104.38,10233,0.1169,0.0,3118,
foldgrpo,57,no_reward_server_zero_grad,0.0,0.0,86.12,8539,0.0368,0.0,3215,
foldgrpo,58,no_reward_server_zero_grad,0.0,0.0,86.52,8563,0.0376,0.0,3212,
foldgrpo,59,no_reward_server_zero_grad,0.0,0.0,85.13,8402,0.0365,0.0,3149,
foldgrpo,60,no_reward_server_zero_grad,0.0,0.0,85.93,8534,0.0356,0.0,3208,0.0
foldgrpo,61,no_reward_server_zero_grad,0.0,0.0,86.21,8726,0.0387,0.0,3341,
foldgrpo,62,no_reward_server_zero_grad,0.0,0.0,85.37,8506,0.0367,0.0,3227,
foldgrpo,63,no_reward_server_zero_grad,0.0,0.0,87.18,8755,0.0377,0.0,3329,
foldgrpo,64,no_reward_server_zero_grad,0.0,0.0,104.98,10427,0.1162,0.0,3019,
foldgrpo,65,no_reward_server_zero_grad,0.0,0.0,85.48,8510,0.0359,0.0,3119,
foldgrpo,66,no_reward_server_zero_grad,0.0,0.0,85.36,8510,0.0384,0.0,3185,
foldgrpo,67,no_reward_server_zero_grad,0.0,0.0,86.0,8330,0.0304,0.0,3092,
foldgrpo,68,no_reward_server_zero_grad,0.0,0.0,85.02,8400,0.034,0.0,3071,
foldgrpo,69,no_reward_server_zero_grad,0.0,0.0,85.27,8471,0.0377,0.0,3107,
foldgrpo,70,no_reward_server_zero_grad,0.0,0.0,86.55,8475,0.0343,0.0,3140,0.0
foldgrpo,71,no_reward_server_zero_grad,0.0,0.0,87.12,8583,0.0387,0.0,3248,
foldgrpo,72,no_reward_server_zero_grad,0.0,0.0,88.82,8491,0.0335,0.0,3233,
foldgrpo,73,no_reward_server_zero_grad,0.0,0.0,85.57,8323,0.0362,0.0,2985,
foldgrpo,74,no_reward_server_zero_grad,0.0,0.0,86.24,8668,0.0385,0.0,3396,
foldgrpo,75,no_reward_server_zero_grad,0.0,0.0,88.24,8885,0.0348,0.0,3383,
foldgrpo,76,no_reward_server_zero_grad,0.0,0.0,86.24,8730,0.0406,0.0,3351,
foldgrpo,77,no_reward_server_zero_grad,0.0,0.0,85.34,8423,0.0342,0.0,3261,
foldgrpo,78,no_reward_server_zero_grad,0.0,0.0,86.2,8361,0.0326,0.0,3211,
foldgrpo,79,no_reward_server_zero_grad,0.0,0.0,106.23,10434,0.1087,0.0,3031,
foldgrpo,80,no_reward_server_zero_grad,0.0,0.0,104.51,10347,0.1029,0.0,2949,0.0
foldgrpo,81,no_reward_server_zero_grad,0.0,0.0,87.38,8702,0.0388,0.0,3199,
foldgrpo,82,no_reward_server_zero_grad,0.0,0.0,83.62,8462,0.037,0.0,3079,
foldgrpo,83,no_reward_server_zero_grad,0.0,0.0,85.14,8609,0.0378,0.0,3338,
foldgrpo,84,no_reward_server_zero_grad,0.0,0.0,104.82,10481,0.1203,0.0,3093,
foldgrpo,85,no_reward_server_zero_grad,0.0,0.0,85.8,8829,0.038,0.0,3361,
foldgrpo,86,no_reward_server_zero_grad,0.0,0.0,85.09,8574,0.0348,0.0,3104,
foldgrpo,87,no_reward_server_zero_grad,0.0,0.0,84.09,8679,0.0388,0.0,3204,
foldgrpo,88,no_reward_server_zero_grad,0.0,0.0,86.04,8545,0.0346,0.0,3367,
foldgrpo,89,no_reward_server_zero_grad,0.0,0.0,85.9,8593,0.0345,0.0,3195,
foldgrpo,90,no_reward_server_zero_grad,0.0,0.0,85.96,8586,0.0379,0.0,3045,0.0
foldgrpo,91,no_reward_server_zero_grad,0.0,0.0,86.23,8574,0.0376,0.0,3226,
foldgrpo,92,no_reward_server_zero_grad,0.0,0.0,85.94,8379,0.0344,0.0,3062,
foldgrpo,93,no_reward_server_zero_grad,0.0,0.0,84.75,8460,0.034,0.0,3244,
foldgrpo,94,no_reward_server_zero_grad,0.0,0.0,85.71,8569,0.037,0.0,3100,
foldgrpo,95,no_reward_server_zero_grad,0.0,0.0,87.32,8713,0.0378,0.0,3341,
foldgrpo,96,no_reward_server_zero_grad,0.0,0.0,105.23,10457,0.1079,0.0,3069,
foldgrpo,97,no_reward_server_zero_grad,0.0,0.0,85.76,8419,0.0351,0.0,3057,
foldgrpo,98,no_reward_server_zero_grad,0.0,0.0,85.11,8214,0.0318,0.0,3100,
foldgrpo,99,no_reward_server_zero_grad,0.0,0.0,85.46,8371,0.0335,0.0,2979,
foldgrpo,100,no_reward_server_zero_grad,0.0,0.0,106.74,10520,0.1124,0.0,3020,0.0
grpo,1,real,0.0652,0.168,9.49,11083,0.1516,0.0764,1051,
grpo,2,real,0.0992,0.156,9.86,11271,0.1748,0.0748,1122,
grpo,3,real,0.1342,0.188,10.14,12118,0.1654,0.0969,1028,
grpo,4,real,0.0567,0.133,9.77,11828,0.2031,0.0695,997,
grpo,5,real,0.1107,0.172,9.9,11578,0.1509,0.0945,1019,
grpo,6,real,0.1304,0.121,10.42,12353,0.105,0.1082,1165,
grpo,7,real,0.082,0.215,11.49,11960,0.0939,0.1109,1193,
grpo,8,real,0.0811,0.246,11.64,14161,0.2102,0.0963,1155,
grpo,9,real,0.0618,0.309,11.21,15159,0.2696,0.0702,1202,
grpo,10,real,0.1196,0.195,11.85,13616,0.0677,0.1066,1332,0.26
grpo,11,real,0.1,0.27,13.07,15109,0.1107,0.1086,1479,
grpo,12,gap_partial,0.0227,0.023,15.6,5965,0.105,0.0602,875,
grpo,13,real,0.0486,0.473,13.71,15813,0.0742,0.0757,1801,
grpo,14,real,0.1589,0.258,12.94,15952,0.0826,0.1375,1584,
grpo,15,real,0.0643,0.34,13.57,17514,0.1417,0.1296,1703,
grpo,16,real,0.1885,0.285,13.05,16209,0.0917,0.1344,1569,
grpo,17,real,0.1353,0.363,13.76,16414,0.1563,0.1305,1660,
grpo,18,real,0.1504,0.246,13.02,15353,0.0663,0.1289,1569,
grpo,19,real,0.1413,0.473,14.33,16880,0.0927,0.162,1905,
grpo,20,real,0.1246,0.383,14.76,18741,0.2091,0.125,1867,0.0
grpo,21,gap_partial,0.0166,0.164,18.87,4914,0.106,0.0268,900,
grpo,22,real,0.1475,0.391,13.93,16612,0.1118,0.135,1695,
grpo,23,real,0.1631,0.289,13.73,16547,0.0855,0.1318,1915,
grpo,24,real,0.1417,0.219,13.33,16370,0.1179,0.1122,1587,
grpo,25,real,0.2047,0.477,13.76,16248,0.0831,0.1132,1647,
grpo,26,real,0.1246,0.266,14.55,16788,0.1256,0.1352,1772,
grpo,27,real,0.0992,0.109,13.93,16656,0.1452,0.1311,1718,
grpo,28,real,0.1488,0.219,13.95,16182,0.0949,0.1359,1677,
grpo,29,gap_full,0.0,0.344,23.2,5152,0.0818,0.0,1203,
grpo,30,real,0.1693,0.234,14.33,17074,0.089,0.1343,1988,0.2467
grpo,31,real,0.146,0.258,15.28,19111,0.1529,0.1576,1967,
grpo,32,real,0.173,0.254,14.43,18218,0.1108,0.1295,1892,
grpo,33,real,0.1071,0.469,15.3,18087,0.0849,0.1315,2092,
grpo,34,real,0.1311,0.266,14.53,19393,0.122,0.1244,1986,
grpo,35,real,0.0747,0.258,14.73,20294,0.2436,0.1164,2067,
grpo,36,real,0.1679,0.391,15.03,17735,0.1117,0.1369,1831,
grpo,37,gap_partial,0.0478,0.07,18.02,6619,0.0644,0.0803,1012,
grpo,38,real,0.1298,0.277,15.52,20416,0.2042,0.1411,2123,
grpo,39,real,0.0458,0.262,16.09,20017,0.0965,0.0893,2418,
grpo,40,real,0.165,0.301,15.93,21460,0.2157,0.1076,2227,0.3067
grpo,41,real,0.216,0.281,14.58,18819,0.0784,0.1439,1940,
grpo,42,real,0.1446,0.238,16.25,18951,0.0688,0.1503,2257,
grpo,43,real,0.1188,0.559,20.06,20018,0.128,0.1393,2246,
grpo,44,real,0.1742,0.324,16.04,19270,0.0652,0.202,2403,
grpo,45,real,0.1084,0.434,17.67,21966,0.1115,0.1161,2722,
grpo,46,real,0.1439,0.406,16.45,20648,0.0682,0.1677,2551,
grpo,47,real,0.1341,0.34,17.77,21197,0.0725,0.165,2583,
grpo,48,real,0.2199,0.359,18.06,22656,0.1097,0.1983,2827,
grpo,49,gap_full,0.0,0.34,28.05,5335,0.0432,0.0,1136,
grpo,50,real,0.195,0.473,17.78,21884,0.105,0.1837,2756,0.3
grpo,51,real,0.1639,0.301,18.6,21989,0.0828,0.0926,3134,
grpo,52,real,0.1427,0.301,18.38,21296,0.0581,0.1427,3072,
grpo,53,real,0.132,0.367,18.0,22251,0.143,0.1645,2992,
grpo,54,real,0.1017,0.492,22.27,18128,0.0688,0.1317,2671,
grpo,55,real,0.1852,0.316,17.96,22366,0.1227,0.3008,2841,
grpo,56,real,0.1238,0.367,17.46,21131,0.0655,0.0963,3004,
grpo,57,real,0.2082,0.199,16.07,19455,0.0572,0.1893,2468,
grpo,58,real,0.1865,0.168,18.15,22610,0.1958,0.1505,2906,
grpo,59,real,0.0943,0.352,18.86,21616,0.1031,0.1521,2905,
grpo,60,no_reward_server_zero_grad,0.0,0.367,25.4,5758,0.0612,0.0,1500,0.0
grpo,61,no_reward_server_exact_match_only,0.005,0.316,26.32,5701,0.0489,0.0476,1541,
grpo,62,no_reward_server_zero_grad,0.0,0.445,29.38,6056,0.0449,0.0,1675,
grpo,63,no_reward_server_exact_match_only,0.0045,0.371,26.16,6216,0.099,0.0396,1638,
grpo,64,no_reward_server_exact_match_only,0.0023,0.258,24.6,5658,0.0738,0.0498,1526,
grpo,65,no_reward_server_zero_grad,0.0,0.277,25.08,5542,0.0788,0.0,1495,
grpo,66,no_reward_server_zero_grad,0.0,0.32,24.05,5803,0.1015,0.0,1515,
grpo,67,no_reward_server_exact_match_only,0.0051,0.254,21.79,4834,0.0406,0.0475,1398,
grpo,68,no_reward_server_zero_grad,0.0,0.199,21.66,5035,0.0699,0.0,1389,
grpo,69,no_reward_server_zero_grad,0.0,0.285,22.4,5551,0.0616,0.0,1521,
grpo,70,no_reward_server_exact_match_only,0.0072,0.324,24.69,5653,0.0542,0.0374,1549,0.0
grpo,71,no_reward_server_exact_match_only,0.0145,0.312,23.32,5510,0.0643,0.0453,1476,
grpo,72,no_reward_server_zero_grad,0.0,0.223,20.2,5073,0.0906,0.0,1398,
grpo,73,no_reward_server_exact_match_only,0.0011,0.344,24.11,5841,0.0878,0.0262,1572,
grpo,74,no_reward_server_exact_match_only,0.0148,0.27,22.01,5763,0.1002,0.0401,1485,
grpo,75,no_reward_server_zero_grad,0.0,0.277,23.23,5727,0.0961,0.0,1519,
grpo,76,no_reward_server_zero_grad,0.0,0.18,21.43,5866,0.0968,0.0,1441,
grpo,77,no_reward_server_zero_grad,0.0,0.223,22.75,5527,0.0686,0.0,1533,
grpo,78,no_reward_server_zero_grad,0.0,0.32,23.44,5857,0.0974,0.0,1611,
grpo,79,no_reward_server_zero_grad,0.0,0.234,20.59,4963,0.0686,0.0,1407,
grpo,80,no_reward_server_zero_grad,0.0,0.285,22.93,5458,0.045,0.0,1519,0.0067
grpo,81,no_reward_server_exact_match_only,0.0344,0.234,22.76,5776,0.085,0.0443,1554,
grpo,82,no_reward_server_exact_match_only,0.006,0.207,21.24,5562,0.0615,0.048,1512,
grpo,83,no_reward_server_zero_grad,0.0,0.176,21.09,5339,0.0614,0.0,1513,
grpo,84,no_reward_server_exact_match_only,0.0158,0.184,21.4,5572,0.1098,0.068,1475,
grpo,85,no_reward_server_zero_grad,0.0,0.191,20.79,5400,0.0591,0.0,1436,
grpo,86,no_reward_server_exact_match_only,0.0037,0.188,21.06,5164,0.0539,0.0383,1436,
grpo,87,no_reward_server_zero_grad,0.0,0.16,19.83,5414,0.0713,0.0,1455,
grpo,88,no_reward_server_exact_match_only,0.0162,0.148,18.14,4717,0.0551,0.0444,1336,
grpo,89,no_reward_server_zero_grad,0.0,0.277,22.69,5525,0.0646,0.0,1529,
grpo,90,no_reward_server_exact_match_only,0.0036,0.16,19.73,5168,0.067,0.0452,1395,0.0
grpo,91,no_reward_server_zero_grad,0.0,0.102,18.4,4957,0.0639,0.0,1380,
grpo,92,no_reward_server_zero_grad,0.0,0.359,24.89,6035,0.0711,0.0,1663,
grpo,93,no_reward_server_exact_match_only,0.0101,0.223,23.11,5811,0.1017,0.0439,1537,
grpo,94,no_reward_server_zero_grad,0.0,0.227,20.16,5242,0.0567,0.0,1766,
grpo,95,no_reward_server_zero_grad,0.0,0.184,19.97,5496,0.0974,0.0,1494,
grpo,96,no_reward_server_exact_match_only,0.0088,0.176,20.31,5226,0.0509,0.0526,1461,
grpo,97,no_reward_server_exact_match_only,0.0059,0.199,20.27,5278,0.0728,0.0398,1467,
grpo,98,no_reward_server_zero_grad,0.0,0.34,19.64,4923,0.0705,0.0,1266,
grpo,99,no_reward_server_zero_grad,0.0,0.191,20.72,5234,0.0703,0.0,1484,
grpo,100,no_reward_server_zero_grad,0.0,0.176,19.91,5016,0.0719,0.0,1414,0.0133
